"theta1","theta2","distance"
0.483333333333333,17.1539179718179,0.0566914081092879
0.516666666666667,17.1539179718179,0.0774401766525587
0.55,17.1539179718179,0.0981352422317116
0.583333333333333,17.1539179718179,0.118896117422681
0.616666666666667,17.1539179718179,0.139847602144469
0.65,17.1539179718179,0.161125969570165
0.683333333333333,17.1539179718179,0.182886805025642
0.716666666666667,17.1539179718179,0.205315853641946
0.75,17.1539179718179,0.22864519765551
0.25,23.3182880235966,0.0997978068088907
0.283333333333333,23.3182880235966,0.0747901852539912
0.316666666666667,23.3182880235966,0.0510398361471118
0.35,23.3182880235966,0.0282655213620118
0.383333333333333,23.3182880235966,0.00645866758037327
0.416666666666667,23.3182880235966,0.0152328144880862
0.45,23.3182880235966,0.0362393982701872
0.483333333333333,23.3182880235966,0.0569695278389577
0.516666666666667,23.3182880235966,0.0775306075995957
0.55,23.3182880235966,0.0980391693175041
0.583333333333333,23.3182880235966,0.118612057394367
0.616666666666667,23.3182880235966,0.139371258169951
0.65,23.3182880235966,0.160449901935715
0.683333333333333,23.3182880235966,0.181999868844435
0.716666666666667,23.3182880235966,0.204202315915826
0.75,23.3182880235966,0.227283387266336
0.25,31.6978638492223,0.0983904763145252
0.283333333333333,31.6978638492223,0.0736061311655833
0.316666666666667,31.6978638492223,0.050053473229573
0.35,31.6978638492223,0.0274598740391751
0.383333333333333,31.6978638492223,0.00701824790561573
0.416666666666667,31.6978638492223,0.0157476947143024
0.45,31.6978638492223,0.0365884465873152
0.483333333333333,31.6978638492223,0.057173452037654
0.516666666666667,31.6978638492223,0.0775961873944589
0.55,31.6978638492223,0.0979672556559066
0.583333333333333,31.6978638492223,0.118401483600656
0.616666666666667,31.6978638492223,0.139018720728064
0.65,31.6978638492223,0.159949693710329
0.683333333333333,31.6978638492223,0.181343420489828
0.716666666666667,31.6978638492223,0.203377464331193
0.75,31.6978638492223,0.226273228296672
0.25,43.0886938006377,0.0973521245934365
0.283333333333333,43.0886938006377,0.0727334368978913
0.316666666666667,43.0886938006377,0.0493271968663196
0.35,43.0886938006377,0.0268854237114593
0.383333333333333,43.0886938006377,0.00794409850861915
0.416666666666667,43.0886938006377,0.0161558937381802
0.45,43.0886938006377,0.0368480347590586
0.483333333333333,43.0886938006377,0.057323047284249
0.516666666666667,43.0886938006377,0.0776439146826934
0.55,43.0886938006377,0.0979137307415281
0.583333333333333,43.0886938006377,0.118245811363694
0.616666666666667,43.0886938006377,0.138758401808858
0.65,43.0886938006377,0.159580416725069
0.683333333333333,43.0886938006377,0.180858703088484
0.716666666666667,43.0886938006377,0.202768075181393
0.75,43.0886938006377,0.225526267414194
0.25,58.5728912925047,0.0965870779577582
0.283333333333333,58.5728912925047,0.0720908023628771
0.316666666666667,58.5728912925047,0.0487924694619532
0.35,58.5728912925047,0.0265054852616767
0.383333333333333,58.5728912925047,0.00908173238960761
0.416666666666667,58.5728912925047,0.0164772384627993
0.45,58.5728912925047,0.0370412207484078
0.483333333333333,58.5728912925047,0.0574336689581742
0.516666666666667,58.5728912925047,0.0776787437476778
0.55,58.5728912925047,0.0978740384213964
0.583333333333333,58.5728912925047,0.118130920568787
0.616666666666667,58.5728912925047,0.138566439691129
0.65,58.5728912925047,0.159308156262855
0.683333333333333,58.5728912925047,0.180501288488006
0.716666666666667,58.5728912925047,0.20231857730832
0.75,58.5728912925047,0.224974970146716
0.25,79.6214341106994,0.0960235712211189
0.283333333333333,79.6214341106994,0.0716177282701035
0.316666666666667,79.6214341106994,0.0483991777823819
0.35,79.6214341106994,0.0262798811717055
0.383333333333333,79.6214341106994,0.00998707949263557
0.416666666666667,79.6214341106994,0.0167328498783292
0.45,79.6214341106994,0.0371850322336027
0.483333333333333,79.6214341106994,0.0575155633922784
0.516666666666667,79.6214341106994,0.0777042127346615
0.55,79.6214341106994,0.0978446754929156
0.583333333333333,79.6214341106994,0.118046217952456
0.616666666666667,79.6214341106994,0.138425002492021
0.65,79.6214341106994,0.159107583011066
0.683333333333333,79.6214341106994,0.180237963711823
0.716666666666667,79.6214341106994,0.201987335222003
0.75,79.6214341106994,0.224568551455957
0.25,108.233905309293,0.0956087697882846
0.283333333333333,108.233905309293,0.0712695125827761
0.316666666666667,108.233905309293,0.0481102567335217
0.35,108.233905309293,0.026133196508822
0.383333333333333,108.233905309293,0.0106623660678162
0.416666666666667,108.233905309293,0.0169678066624224
0.45,108.233905309293,0.0372917990071705
0.483333333333333,108.233905309293,0.0575769888398329
0.516666666666667,108.233905309293,0.0777228660337738
0.55,108.233905309293,0.0978229896613362
0.583333333333333,108.233905309293,0.117983814321455
0.616666666666667,108.233905309293,0.138320846217865
0.65,108.233905309293,0.158959893738946
0.683333333333333,108.233905309293,0.180044059652138
0.716666666666667,108.233905309293,0.201743381689551
0.75,108.233905309293,0.224269152424092
0.25,147.128450891928,0.0953035287373034
0.283333333333333,147.128450891928,0.0710132536254786
0.316666666666667,147.128450891928,0.0478978667015602
0.35,147.128450891928,0.026033764647645
0.383333333333333,147.128450891928,0.0111661465951949
0.416666666666667,147.128450891928,0.0171988113451836
0.45,147.128450891928,0.037370403099409
0.483333333333333,147.128450891928,0.0576222186807037
0.516666666666667,147.128450891928,0.0777365433787659
0.55,147.128450891928,0.0978069918811249
0.583333333333333,147.128450891928,0.117937860102752
0.616666666666667,147.128450891928,0.138244169649712
0.65,147.128450891928,0.158851178535597
0.683333333333333,147.128450891928,0.179901321286003
0.716666666666667,147.128450891928,0.201563781425985
0.75,147.128450891928,0.224048692799805
0.25,200,0.0950788868100918
0.283333333333333,200,0.0708247186776155
0.316666666666667,200,0.0477417002546162
0.35,200,0.0259683490618913
0.383333333333333,200,0.011534937996754
0.416666666666667,200,0.0173810080419569
0.45,200,0.0374286197308334
0.483333333333333,200,0.0576563736350295
0.516666666666667,200,0.0777465942542724
0.55,200,0.0977951995254683
0.583333333333333,200,0.117904029764268
0.616666666666667,200,0.138187734952747
0.65,200,0.158771168586925
0.683333333333333,200,0.17979626951238
0.716666666666667,200,0.201431590303178
0.75,200,0.223886407544001
